category,friend_count,photo_count,rating,name,review_date,biz_name,biz_link,useful,funny,user_id,location,address,review_count,desc,price,cool
Bakeries,0,5,1,Mesut O.,9/18/2014,Euro Bakery,/biz/euro-bakery-phoenix,4,1,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","15440 N 35th Ave;Phoenix, AZ 85033",17,"Their food is pretty good but the customer service is absolutely terrible!!!!! Basically if you are not Bosnian you will be treated like shit. I don't understand why is it so hard to be polite to people that are coming in there to give you their business. I went there few times for lunch with few different people and the lack of customer service never fails!!!! Angry faces, people starring, cashier not telling you the amount.....needless to say, I'm not going back. It's a shame that they discriminate against people who are not their own kind.
        Was this review ?",1,
Tires,0,5,1,Mesut O.,8/5/2014,Big O Tires,/biz/big-o-tires-phoenix-3,2,,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","1975 Happy Valley Rd;Phoenix, AZ 85085",17,"I keep returning to this location because it's right next to my house but never again. No matter what the situation is they always try to sell you something. I get it they are trying to make money but it's pathetic how much they try to up sell you. I had a 2 month old tire that had a bubble on the side of it, they called it ""the impact bubble"" therefore it's not covered under warranty. There was no impact!!! They sold me the new tire for $60 (cheap) but with installation and bunch of other fees it ended up being $108!!!! Jesus Christ where did the other $48 come from!?!? Their customer service sucks!!!! I'm never going back.
        Was this review ?",0,
Barbeque,0,5,1,Mesut O.,5/16/2014,Waldo’s BBQ Express,/biz/waldos-bbq-express-phoenix,2,,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","13803 N 19th Ave;Phoenix, AZ 85023",17,"I hate doing this but seriously, this is the worst bbq that I ever tried. Their sandwiches are cheap I'll give them that but they are also very small and tasteless. I went there for lunch and I actually bought 3 different sandwiches cause I wanted to try out different stuff. Long story short; I took one bite out of each sandwich and I threw them away. Fries were super old and soggy...I just can't find one positive about this place.
        Was this review ?",1,
Pizza,0,5,5,Mesut O.,4/18/2014,La Grande Orange Pizzeria,/biz/la-grande-orange-pizzeria-phoenix,,,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","4410 N 40th St;Phoenix, AZ 85018",17,"Even though I absolutely love food, I'm a very picky eater. I can easily say that this is my favorite restaurant in AZ. I ate at LGO at least 25-30 times and I was never disappointed, not even once. Their coffee is great (Havana latte), their wings ate awesome, their Green Chilly burger is out of this world!!! It won the best burger in AZ award few years ago. Their pizzas are amazing......I usually get ""the gladiator"" with avocado, prosciutto and spinach added!!!!! Man I'm telling you, it's insanely delicious. Their gelato and other deserts are awesome too. Large drink variety and it is reasonably priced. This place is awesome. 5 stars for sure.
        Was this review ?",2,
Barbeque;Caterers,0,5,4,Mesut O.,3/29/2014,Pork On A Fork,/biz/pork-on-a-fork-phoenix-4,,,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","1515 W Deer Valley Rd;Phoenix, AZ 85027",17,"I had their pulled pork with spicy bbq sauce. I was impressed. Probably my favorite bbq place in Phoenix. I didn't give it 5 stars because the place is dirty inside. Flies are EVERYWHERE...Their food is excellent but they really need to clean this place up a bit. I will definitely go back, I can't get enough of that spicy bbq sauce. I'm glad I found this place since it's so close to me :) ""bbq tastes so good it makes you wanna slap your momma""
        Was this review ?",2,
Car Wash,0,5,1,Mesut O.,"10/11/2013
            
    
            9/19/2013",Danny’s Family Car Wash,/biz/dannys-family-car-wash-phoenix-8,1,,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","2501 W Happy Valley Rd;Phoenix, AZ 85085",17,"I used to go there for years, the service was always mediocre to say the least but I had a discount so paying $6 for a car wash was pretty sweet. Lately (since the ""raid"") they are just terrible and I would give them a big fat 0 if I could. They laugh at you, your car ends up dirtier than when you brought it in, they are slow, they tried to up sell you even when you are clear that you only want a wash. Even if you decide to go for the expensive option of the wash....guess what, they will wash it the same as the cheap version. They used to polish cars in the sun.....this kills the paint. This place sucks......NEVER again!
        Was this review ?
    
        Was this review ?",0,
Sandwiches;Fast Food;Delis,0,5,4,Mesut O.,9/22/2013,Jersey Mike’s Subs,/biz/jersey-mikes-subs-phoenix-11,,,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","2501 West Happy Valley Road;Phoenix, AZ 85058",17,"Awesome sandwiches. The quality is great and they are consistent. The staff is friendly and helpful. But they are expensive, very expensive.
        Was this review ?",1,
Pizza,0,5,1,Mesut O.,9/22/2013,Rays Pizza,/biz/rays-pizza-phoenix,1,,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","2501 W Happy Valley Rd;Phoenix, AZ 85085",17,"Probably the worst customer service in the world. The owner is always angry and he act like he's doing you a favor by taking your money. The pizza is usually super greasy but I don't even want to talk about the food, I just can't believe how rude this guy is. He never ever says thank you or anything at all other than ""what do you want"" and the price. I think he's Albanian (judging by the flag on the walk) he does some dirty business in the back. My brother and I noticed few times some guys going in the back with duffle bags and leaving after like 5-10 minutes with different bags. There is something dirty going on here I guarantee it, I think they are using this business as a smoke screen for money laundering. I will never go there again for as long as I live!!!!
        Was this review ?",1,
Chicken Wings;American (Traditional);Sports Bars,0,5,1,Mesut O.,9/19/2013,Buffalo Wild Wings,/biz/buffalo-wild-wings-phoenix-3,1,,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","2510 W Happy Valley Road;Phoenix, AZ 85085",17,"Food sucks and staff is even worse. I can't believe that people pay to eat there. Their wings are usually dry (not enough sauce), glasses are dirty, silverware is dirty, servers are terrible and why can't they use plates instead of paper??? I don't like the atmosphere and I'm not going back.
        Was this review ?",2,
Pizza;Bars;Sandwiches,0,5,3,Mesut O.,9/19/2013,Mellow Mushroom,/biz/mellow-mushroom-phoenix,,,--4rAAfZnEIAKJE80aIiYg,"Phoenix, AZ","2490 W Happy Valley Rd;Phoenix, AZ 85085",17,"Their pizzas are amazing. But the service along with silverware and the plates are  terrible!!! Servers are way too casual and often look dirty...I get it, that's part of the theme but it just doesn't feel right. It feels dirty. The tables are usually wet when you sit down because they were wiped down with a nasty soaked towel. Oh well I love the food so I will go back but it's kind of pricey for the service and atmosphere.
        Was this review ?",2,
